Entity,Code,Day,Training computation (petaFLOP),Domain,time
InstructGPT 175B,,2022-01-27,319181000,Language,2022-01-27
InternImage,,2022-11-10,2408000.2,Vision,2022-11-10
InternLM,,2023-07-06,998400000,Language,2023-07-06
Invariant CNN,,2004-06-27,0.00097423,Vision,2004-06-27
Invariant image recognition,,1989-06-18,0.000027,Vision,1989-06-18
JFT,,2017-07-10,843000.06,Vision,2017-07-10
JPMAX,,1994-12-02,8.082828e-8,Vision,1994-12-02
Jais,,2023-08-29,48946764,Language,2023-08-29
Jurassic-1-Jumbo,,2021-08-11,370000000,Language,2021-08-11
KEPLER,,2020-11-23,1660000,Language,2020-11-23
KN-LM,,2007-06-22,773.03815,Language,2007-06-22
KataGo,,2019-02-27,23200.002,Games,2019-02-27
Kimi K2,,2025-07-11,2976000000,Language,2025-07-11
LCNP LabelMe,,2009-11-22,3.2951503,Vision,2009-11-22
LCNP MNIST,,2009-11-22,4.1818523,Vision,2009-11-22
LCNP NORB,,2009-11-22,2.45209,Vision,2009-11-22
LISSOM,,1995-11-27,0.0001955448,Vision,1995-11-27
LLaMA-65B,,2023-02-24,550000000,Language,2023-02-24
LLaVA,,2023-04-17,78049000,Multiple domains,2023-04-17
LLaVA 1.5,,2023-11-05,78070000,Multiple domains,2023-11-05
LLaVA-OV-72B,,2024-08-06,3036552000,Multiple domains,2024-08-06
LMICA,,2004-12-01,2.7820802,Vision,2004-12-01
LSTM,,1997-11-15,0.031512,Language,1997-11-15
LSTM LM,,2012-09-09,16.6,Language,2012-09-09
LSTM+NeuralCache,,2018-09-24,0.9828,Language,2018-09-24
LTE speaker verification system,,1966-11-01,1.0591706e-7,Speech,1966-11-01
LUKE,,2020-10-02,18144000,Language,2020-10-02
LaMDA,,2022-02-10,355000000,Language,2022-02-10
LeNet-5,,1998-11-01,0.0028109376,Vision,1998-11-01
Libratus,,2017-08-19,551000,Games,2017-08-19
Linear Decision Functions,,1962-06-01,1.5592501e-9,Other,1962-06-01
Llama 2-70B,,2023-07-18,810000000,Language,2023-07-18
Llama 2-7B,,2023-07-18,84000000,Language,2023-07-18
Llama 3-70B,,2024-04-18,7861000000,Language,2024-04-18
Llama 3.1-405B,,2024-07-23,38000000000,Language,2024-07-23
Llama 3.2 11B,,2024-09-24,579000000,Multiple domains,2024-09-24
Llama 3.3 70B,,2024-12-06,6864977000,Language,2024-12-06
Llama 4 Behemoth (preview),,2025-04-05,51840000000,Multiple domains,2025-04-05
Llama 4 Maverick,,2025-04-05,2244000000,Multiple domains,2025-04-05
Llama 4 Scout,,2025-04-05,4080000300,Multiple domains,2025-04-05
Llama Guard,,2023-12-07,160000000,Language,2023-12-07
Llama-3.1-Nemotron-70B-Instruct,,2024-06-12,7929000000,Language,2024-06-12
M6-T,,2021-03-05,5500000.5,Multiple domains,2021-03-05
MLN-ASR,,1988-08-01,2.96425e-7,Speech,1988-08-01
MM1-30B,,2024-03-14,486000000,Multiple domains,2024-03-14
MMLSTM (PTB),,2019-12-05,58.298782,Language,2019-12-05
MMLSTM (WT-2),,2019-12-05,193.8,Language,2019-12-05
MSA Transformer,,2021-02-13,5490000,Biology,2021-02-13
"MSRA (C, PReLU)",,2015-02-06,23974.031,Vision,2015-02-06
MUSIC perceptron,,1996-06-03,0.0008817336,Vision,1996-06-03
Make-A-Scene,,2022-03-24,6417285,Image generation,2022-03-24
Masked Autoencoders ViT-H,,2021-11-11,460000,Vision,2021-11-11
MedBERT,,2021-05-20,9470,Other,2021-05-20
Meena,,2020-01-28,112000000,Language,2020-01-28
MegaScale (Production),,2024-02-23,3900000000,Language,2024-02-23
Megatron-BERT,,2019-09-17,22000002,Language,2019-09-17
Megatron-LM (1.2B),,2019-09-17,11300000,Language,2019-09-17
Megatron-LM (8.3B),,2019-09-17,9100000,Language,2019-09-17
Megatron-Turing NLG 530B,,2021-10-11,858600060,Language,2021-10-11
Mesh-TensorFlow Transformer 2.9B (translation),,2018-11-05,68428.805,Language,2018-11-05
Mesh-TensorFlow Transformer 4.9B (language),,2018-11-05,161740.8,Language,2018-11-05
MetNet,,2020-03-24,9510.912,Other,2020-03-24
Meta Pseudo Labels,,2021-03-01,47900004,Vision,2021-03-01
Minerva (540B),,2022-06-29,2741500200,Language,2022-06-29
Mistral Large,,2024-02-26,11200000000,Language,2024-02-26
Mistral Large 2,,2024-07-24,21300000000,Language,2024-07-24
Mixtral 8x7B,,2023-12-11,774000000,Language,2023-12-11
Mixture of linear models,,1994-12-02,0.0004536,Vision,1994-12-02
MoE-Multi,,2017-01-23,93939.055,Language,2017-01-23
Mogrifier RLSTM (WT2),,2022-11-03,140,Language,2022-11-03
Movie Gen Video,,2024-10-04,1650000000,Multiple domains,2024-10-04
MuZero,,2019-11-19,48000,Games,2019-11-19
Multi-cell LSTM,,2018-11-15,2.00664,Language,2018-11-15
MultiBand Diffusion,,2023-11-08,26000,Multiple domains,2023-11-08
MuseNet,,2019-04-25,220830.11,Other,2019-04-25
NAS with base 8 and shared embeddings,,2016-11-05,10.5,Language,2016-11-05
NASv3 (CIFAR-10),,2016-11-05,2200000,Vision,2016-11-05
NETtalk reimplementation,,1990-06-01,0.000035811936,Speech,1990-06-01
NLLB,,2022-07-06,17511138,Language,2022-07-06
NPLM (AP News),,2003-03-15,1.6668692,Language,2003-03-15
NPLM (Brown),,2003-03-15,0.13207626,Language,2003-03-15
NVLM-D 72B,,2024-10-22,3020000000,Multiple domains,2024-10-22
NVLM-H 72B,,2024-10-22,3020000000,Multiple domains,2024-10-22
NVLM-X 72B,,2024-10-22,3039818200,Multiple domains,2024-10-22
Named Entity Recognition model,,2016-03-04,96.940796,Language,2016-03-04
Nemotron-3-8B,,2023-11-15,180000000,Language,2023-11-15
Nemotron-4 340B,,2024-06-14,18000000000,Language,2024-06-14
Neocognitron,,1980-04-01,2.7373824e-7,Vision,1980-04-01
NetTalk (dictionary),,1987-06-06,0.000027664064,Speech,1987-06-06
NetTalk (transcription),,1987-06-06,0.000028328002,Speech,1987-06-06
Neural LM,,2000-11-28,6.339,Language,2000-11-28
NeuroChess,,1994-12-02,0.0008587308,Games,1994-12-02
Noisy Student (L2),,2019-11-11,26120000,Vision,2019-11-11
Nucleotide Transformer,,2023-01-15,8080000,Biology,2023-01-15
NÜWA,,2021-11-24,7245988,Multiple domains,2021-11-24
ONE-PEACE,,2023-05-18,180000,Multiple domains,2023-05-18
OPT-175B,,2022-05-02,430000030,Language,2022-05-02
Octo-Base,,2024-05-20,585000,Robotics,2024-05-20
OmegaPLM,,2022-07-22,10351411,Biology,2022-07-22
Once for All,,2020-04-29,623700,Vision,2020-04-29
OpenAI Five,,2019-12-13,67000004,Games,2019-12-13
OpenAI Five Rerun,,2019-12-13,13000000,Games,2019-12-13
OpenAI TI7 DOTA 1v1,,2017-08-11,604609.5,Games,2017-08-11
OpenVLA,,2024-06-13,110000000,Multiple domains,2024-06-13
PLATO-XL,,2021-09-20,9900000,Language,2021-09-20
PLUG,,2021-04-19,35997696,Language,2021-04-19
PaLI,,2022-09-14,169000020,Multiple domains,2022-09-14
PaLI-X,,2023-05-29,560000000,Multiple domains,2023-05-29
PaLM (540B),,2022-04-04,2527200000,Language,2022-04-04
PaLM 2,,2023-05-10,7339999700,Language,2023-05-10
PanGu-Σ,,2023-03-20,467000000,Language,2023-03-20
Pandemonium (morse),,1959-02-01,6e-7,Language,1959-02-01
Pangu Ultra,,2025-04-10,10692001000,Language,2025-04-10
Pangu-Weather,,2023-07-05,39800000,Other,2023-07-05
Parti,,2022-06-22,509607970,Image generation,2022-06-22
PeptideBERT,,2023-08-28,49.000004,Biology,2023-08-28
Perceptron (1960),,1960-03-30,7.2e-7,Vision,1960-03-30
Perceptron Mark I,,1957-01-01,6.948949e-10,Other,1957-01-01
PermuteFormer,,2021-09-06,2775,Language,2021-09-06
Pluribus,,2019-07-11,66,Games,2019-07-11
PoE MNIST,,2000-11-28,0.051810004,Vision,2000-11-28
Pointer Sentinel-LSTM (medium),,2016-09-26,7.49,Language,2016-09-26
PolyCoder,,2022-02-26,1100000,Language,2022-02-26
PolyNet,,2016-11-17,64000,Vision,2016-11-17
Pooling CNN (Caltech 101),,2010-09-15,1.2211242,Vision,2010-09-15
Pooling CNN (NORB),,2010-09-15,1.4562773,Vision,2010-09-15
Predictive Coding NN,,1994-12-02,0.018621901,Language,1994-12-02
Print Recognition Logic,,1963-01-01,2.25e-8,Vision,1963-01-01
ProBERTa,,2020-09-01,9720.001,Biology,2020-09-01
ProGen2-xlarge,,2022-06-27,13500001,Biology,2022-06-27
Projected GAN,,2021-11-01,10500,Image generation,2021-11-01
ProtBERT-BFD,,2021-05-04,39000004,Biology,2021-05-04
ProtT5-XL-U50,,2021-05-04,18704498,Biology,2021-05-04
ProteinBERT,,2022-02-10,65000,Biology,2022-02-10
PyramidNet,,2017-09-06,2.34,Vision,2017-09-06
QRNN,,2018-02-01,688.66473,Language,2018-02-01
QwQ-32B,,2025-03-06,3510000000,Language,2025-03-06
Qwen-72B,,2023-11-30,1300000000,Language,2023-11-30
Qwen1.5-72B,,2024-02-04,1300000000,Language,2024-02-04
Qwen2-72B,,2024-06-07,3020000000,Language,2024-06-07
Qwen2.5 Instruct (72B),,2024-09-19,7851600400,Language,2024-09-19
Qwen2.5-32B,,2024-09-17,3510000000,Language,2024-09-17
Qwen2.5-72B,,2024-09-19,7800000000,Language,2024-09-19
R-FCN,,2016-06-21,719.3578,Vision,2016-06-21
RCTM,,2013-10-01,9.3312,Language,2013-10-01
RDT-1B,,2024-10-10,40600000,Robotics,2024-10-10
RECONTRA-categorized,,1999-06-02,0.0080136005,Language,1999-06-02
RECONTRA-uncategorized,,1999-06-02,0.003864,Language,1999-06-02
RETRO-7B,,2022-02-07,16800000,Language,2022-02-07
RNN LM,,2010-09-26,53.960003,Language,2010-09-26
RNNsearch-50*,,2014-09-01,1555.2,Language,2014-09-01
RNTN,,2013-10-01,14.22,Language,2013-10-01
RankNet,,2005-08-07,0.0034820817,Other,2005-08-07
ReLU-Speech,,2013-05-26,127.733765,Speech,2013-05-26
Reka Core,,2024-04-15,8400010000,Multiple domains,2024-04-15
ResNeXt-101 32x48d,,2018-05-02,8743950,Vision,2018-05-02
ResNet-101 (ImageNet),,2015-12-10,7004,Vision,2015-12-10
ResNet-152 (ImageNet),,2015-12-10,10414.081,Vision,2015-12-10
ResNet-200,,2016-09-17,29741.645,Vision,2016-09-17
RetinaNet-R101,,2017-08-07,2065.392,Vision,2017-08-07
